zone,hour,hourly_mw,date,year,month,day,dow,weekend,holiday,is_dst,is_sah,precovid,postcovid,temp,rh,precip,pressure,windspeed,rain,snow
AE,0,1608.0970000000002,2022-08-05,2022,08,05,Friday,False,False,True,False,False,True,75.8,94,0.0,1016.6,3.1,False,False
AE,1,1460.487,2022-08-05,2022,08,05,Friday,False,False,True,False,False,True,75.7,92,0.0,1017.2,3.3,False,False
AE,2,1385.648,2022-08-05,2022,08,05,Friday,False,False,True,False,False,True,75.3,95,0.0,1017.0,3.2,False,False
AE,3,1321.517,2022-08-05,2022,08,05,Friday,False,False,True,False,False,True,74.9,97,0.0,1016.9,3.3,False,False
AE,4,1300.519,2022-08-05,2022,08,05,Friday,False,False,True,False,False,True,74.8,98,0.0,1016.9,3.3,False,False
AE,5,1311.971,2022-08-05,2022,08,05,Friday,False,False,True,False,False,True,74.7,98,0.0,1017.3,3.2,False,False
AE,6,1346.53,2022-08-05,2022,08,05,Friday,False,False,True,False,False,True,75.4,94,0.0,1017.7,2.9,False,False
AE,7,1431.2089999999996,2022-08-05,2022,08,05,Friday,False,False,True,False,False,True,76.2,86,0.0,1019.1,3.8,False,False
AE,8,1468.783,2022-08-05,2022,08,05,Friday,False,False,True,False,False,True,77.8,81,0.0,1019.0,3.9,False,False
AE,9,1586.513,2022-08-05,2022,08,05,Friday,False,False,True,False,False,True,80.9,73,0.0,1019.5,5.1,False,False
AE,10,1707.7879999999998,2022-08-05,2022,08,05,Friday,False,False,True,False,False,True,84.8,65,0.0,1019.5,6.2,False,False
AE,11,1836.2479999999998,2022-08-05,2022,08,05,Friday,False,False,True,False,False,True,88.2,57,0.0,1019.4,7.2,False,False
AE,12,1965.1529999999998,2022-08-05,2022,08,05,Friday,False,False,True,False,False,True,90.1,55,0.0,1018.8,7.8,False,False
AE,13,2084.298,2022-08-05,2022,08,05,Friday,False,False,True,False,False,True,90.6,54,0.0,1018.9,7.1,False,False
