datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,MIDATL,AE,AECO,774.812,False
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,WEST,AEP,AEPAPT,3358.786,True
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,WEST,AEP,AEPIMP,2565.298,True
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,WEST,AEP,AEPKPT,507.172,True
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,WEST,AEP,AEPOPT,5074.959,True
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,WEST,AP,AP,4434.793,False
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,MIDATL,BC,BC,2492.796,False
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,WEST,CE,CE,8441.272,True
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,WEST,DAY,DAY,1526.000,False
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,WEST,DEOK,DEOK,2206.290,False
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,9965.167,False
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1431.270,False
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,WEST,DUQ,DUQ,1167.003,False
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,MIDATL,DPL,EASTON,18.053,True
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,SERC,WEST,EKPC,EKPC,999.400,False
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,MIDATL,JC,JC,1809.756,True
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,MIDATL,ME,ME,1380.426,True
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,WEST,ATSI,OE,5401.473,True
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,WEST,OVEC,OVEC,41.000,True
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,WEST,ATSI,PAPWR,433.721,True
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,MIDATL,PE,PE,3096.997,False
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2029.695,False
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,MIDATL,PL,PLCO,3499.837,False
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,MIDATL,PN,PN,1597.587,False
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,MIDATL,PS,PS,3884.055,False
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,MIDATL,RECO,RECO,117.132,False
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,MIDATL,PEP,SMECO,248.124,True
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,MIDATL,PL,UGI,77.309,True
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,MIDATL,AE,VMEU,65.001,False
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RTO,RTO,RTO,RTO,68645.184,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,MIDATL,AE,AECO,752.557,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,WEST,AEP,AEPAPT,3271.911,True
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,WEST,AEP,AEPIMP,2490.769,True
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,WEST,AEP,AEPKPT,494.464,True
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,WEST,AEP,AEPOPT,4935.431,True
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,WEST,AP,AP,4304.772,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,MIDATL,BC,BC,2397.984,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,WEST,CE,CE,8149.437,True
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,WEST,DAY,DAY,1488.000,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,WEST,DEOK,DEOK,2107.907,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,9720.176,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1386.469,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,WEST,DUQ,DUQ,1137.686,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,MIDATL,DPL,EASTON,17.434,True
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,SERC,WEST,EKPC,EKPC,948.314,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,MIDATL,JC,JC,1739.384,True
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,MIDATL,ME,ME,1338.610,True
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,WEST,ATSI,OE,5244.817,True
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,WEST,OVEC,OVEC,36.000,True
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,WEST,ATSI,PAPWR,460.328,True
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,MIDATL,PE,PE,2992.948,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,1959.615,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,MIDATL,PL,PLCO,3408.985,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,MIDATL,PN,PN,1557.520,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,MIDATL,PS,PS,3756.690,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,MIDATL,RECO,RECO,112.764,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,MIDATL,PEP,SMECO,235.237,True
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,MIDATL,PL,UGI,77.470,True
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,MIDATL,AE,VMEU,63.215,False
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RTO,RTO,RTO,RTO,66586.894,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,MIDATL,AE,AECO,739.956,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,WEST,AEP,AEPAPT,3258.771,True
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,WEST,AEP,AEPIMP,2454.351,True
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,WEST,AEP,AEPKPT,485.269,True
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,WEST,AEP,AEPOPT,4879.251,True
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,WEST,AP,AP,4259.395,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,MIDATL,BC,BC,2349.744,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,WEST,CE,CE,7966.298,True
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,WEST,DAY,DAY,1461.000,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,WEST,DEOK,DEOK,2061.903,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,9611.837,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,MIDATL,DPL,DPLCO,1362.429,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,WEST,DUQ,DUQ,1126.996,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,MIDATL,DPL,EASTON,17.248,True
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,SERC,WEST,EKPC,EKPC,968.535,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,MIDATL,JC,JC,1700.883,True
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,MIDATL,ME,ME,1317.698,True
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,WEST,ATSI,OE,5176.695,True
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,WEST,OVEC,OVEC,39.000,True
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,WEST,ATSI,PAPWR,456.312,True
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,MIDATL,PE,PE,2929.080,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,1902.280,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,MIDATL,PL,PLCO,3329.825,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,MIDATL,PN,PN,1560.064,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,MIDATL,PS,PS,3699.659,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,MIDATL,RECO,RECO,110.621,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,MIDATL,PEP,SMECO,229.722,True
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,MIDATL,PL,UGI,75.960,True
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,MIDATL,AE,VMEU,62.162,False
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RTO,RTO,RTO,RTO,65592.944,False
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,MIDATL,AE,AECO,730.185,False
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,WEST,AEP,AEPAPT,3232.689,True
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,WEST,AEP,AEPIMP,2451.547,True
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,WEST,AEP,AEPKPT,486.299,True
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,WEST,AEP,AEPOPT,4876.314,True
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,WEST,AP,AP,4228.512,False
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,MIDATL,BC,BC,2343.362,False
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,WEST,CE,CE,7845.261,True
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,WEST,DAY,DAY,1449.000,False
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,WEST,DEOK,DEOK,2048.676,False
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,SERC,SOUTH,DOM,DOM,9613.662,False
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,MIDATL,DPL,DPLCO,1354.927,False
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,WEST,DUQ,DUQ,1120.381,False
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,MIDATL,DPL,EASTON,17.329,True
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,SERC,WEST,EKPC,EKPC,1033.441,False
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,MIDATL,JC,JC,1697.567,True
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,MIDATL,ME,ME,1324.701,True
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,WEST,ATSI,OE,5152.541,True
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,WEST,OVEC,OVEC,33.000,True
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,WEST,ATSI,PAPWR,425.916,True
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,MIDATL,PE,PE,2904.493,False
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,MIDATL,PEP,PEPCO,1896.546,False
