datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,MIDATL,AE,AECO,797.773,False
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,WEST,AEP,AEPAPT,3190.447,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,WEST,AEP,AEPIMP,2342.117,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,WEST,AEP,AEPKPT,472.332,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,WEST,AEP,AEPOPT,5007.103,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,WEST,AP,AP,4063.464,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,MIDATL,BC,BC,2437.163,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,WEST,CE,CE,8354.039,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,WEST,DAY,DAY,1372.000,False
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,WEST,DEOK,DEOK,2176.696,False
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,9501.200,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1421.222,False
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,WEST,DUQ,DUQ,1150.951,False
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,MIDATL,DPL,EASTON,17.830,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,SERC,WEST,EKPC,EKPC,1107.506,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,MIDATL,JC,JC,1788.010,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,MIDATL,ME,ME,1261.691,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,WEST,ATSI,OE,5248.355,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,WEST,OVEC,OVEC,31.000,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,WEST,ATSI,PAPWR,426.534,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,MIDATL,PE,PE,2957.171,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2022.388,False
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,MIDATL,PL,PLCO,3264.748,False
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,MIDATL,PN,PN,1448.884,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,MIDATL,PS,PS,3642.947,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,MIDATL,RECO,RECO,115.506,False
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,MIDATL,PEP,SMECO,247.205,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,MIDATL,PL,UGI,79.264,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RFC,MIDATL,AE,VMEU,65.166,True
9/24/2022 4:00:00 AM,9/24/2022 12:00:00 AM,RTO,RTO,RTO,RTO,66010.712,False
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,MIDATL,AE,AECO,767.470,False
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,WEST,AEP,AEPAPT,3113.605,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,WEST,AEP,AEPIMP,2297.353,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,WEST,AEP,AEPKPT,460.552,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,WEST,AEP,AEPOPT,4807.179,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,WEST,AP,AP,3904.631,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,MIDATL,BC,BC,2338.514,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,WEST,CE,CE,7947.524,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,WEST,DAY,DAY,1324.000,False
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,WEST,DEOK,DEOK,2088.148,False
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,9208.792,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1368.338,False
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,WEST,DUQ,DUQ,1118.184,False
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,MIDATL,DPL,EASTON,17.030,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,SERC,WEST,EKPC,EKPC,1015.335,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,MIDATL,JC,JC,1723.087,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,MIDATL,ME,ME,1210.301,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,WEST,ATSI,OE,5083.584,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,WEST,OVEC,OVEC,32.000,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,WEST,ATSI,PAPWR,418.019,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,MIDATL,PE,PE,2835.769,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,1925.510,False
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,MIDATL,PL,PLCO,3164.282,False
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,MIDATL,PN,PN,1405.735,True
9/24/2022 5:00:00 AM,9/24/2022 1:00:00 AM,RFC,MIDATL,PS,PS,3512.332,True
