zone,date,peak_hour,peak_hour_mw,hist_peak_mw,pct_hist_peak_mw
AE,8/5/2022,16,2373.258,2737.312,0.867003104
AEP,8/5/2022,16,19508.54,22513.719,0.866517877
AP,8/5/2022,16,7561.77,9596.141,0.788001135
ATSI,8/5/2022,16,11122.138,12771.051,0.870886664
BC,8/5/2022,16,5844.23,6705.728,0.871528043
CE,8/5/2022,16,17852.958,21262.332,0.839651925
DAY,8/5/2022,16,2871,3348,0.857526882
DEOK,8/5/2022,16,4208.835,5305.66,0.793272656
DOM,8/5/2022,16,18792.976,21156.275,0.888293237
DPL,8/5/2022,16,3425.396,4125.325,0.83033361
DUQ,8/5/2022,16,2415.388,2759.284,0.875367668
EKPC,8/5/2022,16,1725.812,3074.136,0.561397414
JC,8/5/2022,16,5406.372,6169.072,0.876367142
ME,8/5/2022,16,2726.821,3071.547,0.887767955
OVEC,8/5/2022,16,48,124,0.387096774
PE,8/5/2022,16,7278.377,8582.561,0.84804256
PEP,8/5/2022,16,5193.83,6190.743,0.838967148
PL,8/5/2022,16,6707.148,7938.823,0.844854206
PN,8/5/2022,16,2532.24,3014.996,0.839881711
PS,8/5/2022,16,8806.092,10147.018,0.867850239
RECO,8/5/2022,16,370.48,427.359,0.86690581
