zone,hour,hourly_mw,hourly_temp
AE,0,874.58685,53.7
AE,1,852.6396,53.8
AE,2,839.03314,54.9
AE,3,836.2532,55.5
AE,4,827.06586,56.1
AE,5,865.93207,56.3
AE,6,963.27325,56.0
AE,7,1004.8316,52.6
AE,8,1007.5249,49.7
AE,9,1019.31415,49.3
AE,10,1025.0818,49.6
AE,11,1000.8595,51.6
AE,12,979.7831,51.9
AE,13,981.3613,51.1
AE,14,1002.3386,50.7
AE,15,1062.6349,49.3
AE,16,1163.6179,47.3
AE,17,1232.7074,45.5
AE,18,1286.715,43.4
AE,19,1229.9297,41.5
AE,20,1223.9879,39.9
AE,21,1140.9719,39.0
AE,22,1067.776,38.4
AE,23,1029.2395,37.4
AEP,0,12952.991,41.3
AEP,1,12750.552,41.6
AEP,2,12913.989,39.9
AEP,3,13020.6,39.1
AEP,4,13525.746,37.8
AEP,5,14546.974,36.2
AEP,6,15866.521,35.5
AEP,7,16328.19,35.6
AEP,8,16529.102,34.7
AEP,9,16287.645,34.9
AEP,10,16400.744,35.0
AEP,11,15952.919,36.6
AEP,12,16088.245,37.4
AEP,13,15894.76,36.9
AEP,14,15748.331,37.4
AEP,15,15621.179,35.5
AEP,16,15580.773,36.8
AEP,17,16340.135,35.9
AEP,18,16239.725,35.1
AEP,19,16879.254,34.3
AEP,20,16574.328,33.6
AEP,21,16205.556,32.9
AEP,22,15631.555,31.5
AEP,23,15539.903,31.4
AP,0,4938.0,40.5
AP,1,4804.4795,40.5
AP,2,4846.912,40.4
AP,3,4994.666,39.2
AP,4,5179.2607,38.5
AP,5,5411.117,37.8
AP,6,5933.813,37.9
AP,7,6057.6206,36.9
AP,8,6332.6245,35.2
AP,9,6207.539,33.6
AP,10,6353.6562,32.4
AP,11,6342.352,32.5
AP,12,6214.5176,31.5
AP,13,6203.584,31.6
AP,14,6144.1196,31.6
AP,15,6127.83,31.6
AP,16,6304.83,31.3
AP,17,6416.563,31.1
AP,18,6390.7656,30.7
AP,19,6531.1875,30.2
AP,20,6284.8193,30.2
AP,21,6021.0513,29.8
AP,22,5811.691,28.5
AP,23,5708.4253,28.0
ATSI,0,6854.142,37.1
ATSI,1,6646.54,37.1
ATSI,2,6614.905,36.4
ATSI,3,6565.838,36.0
ATSI,4,6660.3823,35.3
ATSI,5,7046.163,34.7
ATSI,6,7683.031,33.5
ATSI,7,8149.247,33.3
ATSI,8,8311.376,32.6
ATSI,9,8542.974,32.8
ATSI,10,8619.491,34.0
ATSI,11,8546.554,33.7
ATSI,12,8536.947,34.4
ATSI,13,8440.156,35.0
ATSI,14,8386.5625,34.3
ATSI,15,8298.505,34.4
ATSI,16,8291.318,33.5
ATSI,17,8499.35,33.2
ATSI,18,8495.247,32.5
ATSI,19,8484.865,31.8
ATSI,20,8308.669,32.1
ATSI,21,7976.156,31.8
ATSI,22,7582.079,31.9
ATSI,23,7218.008,32.0
BC,0,2817.1753,41.3
BC,1,2612.3118,41.8
BC,2,2611.1172,42.2
BC,3,2594.4878,42.6
BC,4,2799.5728,41.3
BC,5,3052.8425,39.9
BC,6,3457.087,39.1
BC,7,3689.8923,39.2
BC,8,3702.55,40.8
BC,9,3710.732,44.3
BC,10,3601.4773,46.2
BC,11,3525.6272,48.0
BC,12,3430.0215,48.3
BC,13,3476.376,48.0
BC,14,3431.2483,47.6
BC,15,3469.1748,46.2
BC,16,3805.915,43.5
BC,17,4056.0017,40.5
BC,18,4089.2708,39.1
BC,19,3907.2305,38.5
BC,20,3956.7314,37.2
BC,21,3855.801,36.3
BC,22,3536.659,34.8
BC,23,3345.0542,34.1
CE,0,9710.529,32.5
CE,1,9347.148,32.6
CE,2,9195.171,32.5
CE,3,9188.039,32.5
CE,4,9133.264,31.0
CE,5,9375.547,32.5
CE,6,10129.191,32.4
CE,7,11009.762,32.3
CE,8,11442.609,32.1
CE,9,11550.533,32.4
CE,10,11626.846,32.9
CE,11,11698.865,33.4
CE,12,11825.167,33.7
CE,13,11874.797,33.6
CE,14,12086.443,33.4
CE,15,12020.844,33.2
CE,16,12000.398,32.9
CE,17,12050.515,32.3
CE,18,12256.069,32.2
CE,19,11973.937,31.1
CE,20,11601.771,30.4
CE,21,11442.891,31.0
CE,22,10918.577,31.0
CE,23,10289.843,31.1
DAY,0,1808.7389,35.5
DAY,1,1786.1305,34.1
DAY,2,1789.8165,34.1
DAY,3,1799.0598,33.4
DAY,4,1915.6172,32.8
DAY,5,2007.7487,32.5
DAY,6,2181.8079,31.7
DAY,7,2281.9575,31.2
DAY,8,2318.2478,31.6
DAY,9,2355.1086,32.7
DAY,10,2325.783,32.4
DAY,11,2349.3972,34.4
DAY,12,2361.0813,34.3
DAY,13,2297.534,34.6
DAY,14,2244.142,35.7
DAY,15,2264.4224,36.1
DAY,16,2303.8816,36.0
DAY,17,2335.6462,33.6
DAY,18,2392.9375,33.4
DAY,19,2363.6082,32.2
DAY,20,2305.4895,31.3
DAY,21,2236.0715,29.8
DAY,22,2056.3586,28.9
DAY,23,1984.1814,29.2
DEOK,0,2552.9473,36.1
DEOK,1,2511.6912,35.1
DEOK,2,2454.4412,34.6
DEOK,3,2544.4207,33.3
DEOK,4,2619.226,33.0
DEOK,5,2837.5237,33.1
DEOK,6,3068.7937,33.1
DEOK,7,3182.2944,32.9
DEOK,8,3291.9563,33.1
DEOK,9,3294.567,33.4
DEOK,10,3233.4336,35.8
DEOK,11,3242.5408,36.2
DEOK,12,3243.893,35.5
DEOK,13,3291.2551,36.2
DEOK,14,3284.1333,34.9
DEOK,15,3263.4177,35.8
DEOK,16,3280.0928,34.3
DEOK,17,3366.1543,34.0
DEOK,18,3439.7664,32.3
DEOK,19,3394.505,32.0
DEOK,20,3299.9802,30.4
DEOK,21,3181.3406,28.3
DEOK,22,3038.3826,28.3
DEOK,23,2899.6326,27.5
DOM,0,11481.697,41.4
DOM,1,11217.478,41.3
DOM,2,11195.9795,41.1
DOM,3,11100.065,41.4
DOM,4,11491.834,40.7
DOM,5,12078.802,40.1
DOM,6,12757.022,40.7
DOM,7,13303.063,40.9
DOM,8,14047.381,41.7
DOM,9,13700.819,43.6
DOM,10,13489.819,46.8
DOM,11,12893.614,51.2
DOM,12,12832.39,52.5
DOM,13,12829.566,52.5
DOM,14,12854.7705,52.4
DOM,15,12822.639,51.6
DOM,16,12829.996,50.7
DOM,17,13658.909,47.7
DOM,18,13882.623,45.2
DOM,19,13684.747,43.5
DOM,20,13257.054,43.6
DOM,21,12695.631,44.1
DOM,22,12266.679,43.0
DOM,23,11855.593,41.9
DPL,0,1629.7819,44.9
DPL,1,1546.95,46.6
DPL,2,1574.878,47.1
DPL,3,1562.6787,48.6
DPL,4,1577.6462,48.7
DPL,5,1749.5479,46.6
DPL,6,1960.7085,44.5
DPL,7,2249.6672,43.0
DPL,8,2219.5605,44.1
DPL,9,2132.3384,45.5
DPL,10,2149.0903,46.7
DPL,11,2055.0496,49.5
DPL,12,2088.5786,50.1
DPL,13,2076.6604,49.7
