zone,date,peak_hour,peak_hour_mw,hist_peak_mw,pct_hist_peak_mw
AE,2022-11-16,18,1286.715,2737.312,0.470065146326145
AEP,2022-11-16,18,16239.725,22513.719,0.7213257218576371
AP,2022-11-16,18,6390.7656,9596.141,0.6659724596585231
ATSI,2022-11-16,18,8495.247,12771.051,0.6651956107850874
BC,2022-11-16,18,4089.2708,6705.728,0.609817569688649
CE,2022-11-16,18,12256.069,21262.332,0.5764216895840729
DAY,2022-11-16,18,2392.9375,3348.0,0.7147364097968937
DEOK,2022-11-16,18,3439.7664,5305.66,0.6483201632637363
DOM,2022-11-16,18,13882.623,21156.275,0.6561941101103573
DPL,2022-11-16,18,2426.592,4125.325,0.5882183927364814
DUQ,2022-11-16,18,1642.5186,2759.284,0.5952698434403635
EKPC,2022-11-16,18,1807.5311,3074.136,0.5879802090505064
JC,2022-11-16,18,2926.3584,6169.072,0.4743595792750514
ME,2022-11-16,18,2099.062,3071.547,0.6833891884834418
OVEC,2022-11-16,18,36.70373,124.0,0.29599783497471965
PE,2022-11-16,18,5163.0503,8582.561,0.6015745525104628
PEP,2022-11-16,18,3773.5317,6190.743,0.6095442402117565
PL,2022-11-16,18,5610.962,7938.823,0.7067750363073342
PN,2022-11-16,18,2227.3142,3014.996,0.7387453280151532
PS,2022-11-16,18,5507.9067,10147.018,0.542810384122828
RECO,2022-11-16,18,180.127,427.359,0.4214887223654286
