zone,date,peak_hour,peak_hour_mw,hist_peak_mw,pct_hist_peak_mw
AE,2022-11-16,18,1299.4641,2737.312,0.47472268828987163
AEP,2022-11-16,18,16310.653,22513.719,0.724476188066152
AP,2022-11-16,18,6570.1045,9596.141,0.684661104102941
ATSI,2022-11-16,18,8499.134,12771.051,0.6654999489910814
BC,2022-11-16,18,3961.3096,6705.728,0.5907351998638328
CE,2022-11-16,18,12042.497,21262.332,0.5663770592196802
DAY,2022-11-16,18,2388.7322,3348.0,0.7134803398250822
DEOK,2022-11-16,18,3431.0107,5305.66,0.6466699227216783
DOM,2022-11-16,18,13459.028,21156.275,0.6361719310376
DPL,2022-11-16,18,2526.684,4125.325,0.6124812183358281
DUQ,2022-11-16,18,1622.2139,2759.284,0.5879111636161772
EKPC,2022-11-16,18,1822.6096,3074.136,0.5928851616000805
JC,2022-11-16,18,2914.7317,6169.072,0.47247490213327464
ME,2022-11-16,18,2136.0442,3071.547,0.6954294332637999
OVEC,2022-11-16,18,33.97422,124.0,0.2739856473861202
PE,2022-11-16,18,5237.6255,8582.561,0.61026370663503
PEP,2022-11-16,18,3769.4082,6190.743,0.6088781593945993
PL,2022-11-16,18,5608.35,7938.823,0.7064460434067178
PN,2022-11-16,18,2207.3413,3014.996,0.7321208083174073
PS,2022-11-16,18,5461.6855,10147.018,0.5382552338898975
RECO,2022-11-16,18,177.19264,427.359,0.414622465449222
