zone,hour,hourly_mw,hourly_temp
AE,0,872.5237,53.6
AE,1,859.54974,55.4
AE,2,833.158,55.7
AE,3,845.8309,55.4
AE,4,834.65625,55.3
AE,5,859.91296,55.9
AE,6,940.2912,56.7
AE,7,999.2087,56.0
AE,8,1023.97833,54.6
AE,9,1009.7457,51.7
AE,10,1015.25433,50.9
AE,11,1014.9409,50.6
AE,12,1009.0708,50.9
AE,13,1001.4389,51.5
AE,14,990.5073,51.4
AE,15,1040.8331,50.1
AE,16,1126.3783,47.6
AE,17,1230.8107,45.4
AE,18,1260.168,43.4
AE,19,1231.5197,42.0
AE,20,1202.3922,40.7
AE,21,1147.6215,39.4
AE,22,1060.7797,38.1
AE,23,1030.7732,37.0
AEP,0,12906.624,41.8
AEP,1,12754.35,41.8
AEP,2,12854.99,40.4
AEP,3,13040.647,39.1
AEP,4,13674.785,38.3
AEP,5,14290.541,38.2
AEP,6,15096.88,37.7
AEP,7,16039.295,36.6
AEP,8,16379.021,36.7
AEP,9,15922.192,36.5
AEP,10,15969.771,36.6
AEP,11,15948.691,37.5
AEP,12,15799.003,37.4
AEP,13,15479.305,36.9
AEP,14,15757.756,37.7
AEP,15,15586.524,37.1
AEP,16,15659.865,35.8
AEP,17,16110.158,36.0
AEP,18,16533.166,34.5
AEP,19,16889.871,34.2
AEP,20,17305.658,31.6
AEP,21,16851.232,31.3
AEP,22,15961.366,31.7
AEP,23,15483.381,31.4
AP,0,4924.336,42.0
AP,1,4817.2173,42.3
AP,2,4691.004,42.5
AP,3,4935.0513,40.8
AP,4,5128.888,39.5
AP,5,5459.0713,39.0
AP,6,5940.166,38.5
AP,7,6169.175,37.8
AP,8,6411.7104,36.8
AP,9,6250.3486,35.0
AP,10,6109.0864,34.4
AP,11,6211.2773,33.9
AP,12,6303.169,34.6
AP,13,6217.444,34.1
AP,14,6117.0415,33.4
AP,15,6166.694,33.0
AP,16,6331.3486,32.4
AP,17,6521.7666,31.5
AP,18,6566.192,31.6
AP,19,6416.5635,31.8
AP,20,6371.6685,31.6
AP,21,6077.3574,31.6
AP,22,5809.2188,31.2
AP,23,5251.533,30.6
ATSI,0,6725.7603,37.0
ATSI,1,6570.0776,36.7
ATSI,2,6553.991,36.2
ATSI,3,6559.3096,35.9
ATSI,4,6720.2334,35.1
ATSI,5,7013.2095,35.1
ATSI,6,7753.2344,34.4
ATSI,7,8112.5537,33.9
