zone,date,peak_hour,peak_hour_mw,hist_peak_mw,pct_hist_peak_mw
AE,2022-11-16,18,1260.168,2737.312,0.4603669471181948
AEP,2022-11-16,18,16533.166,22513.719,0.7343596149363417
AP,2022-11-16,18,6566.192,9596.141,0.6842533779496623
ATSI,2022-11-16,18,8568.936,12771.051,0.6709655725965702
BC,2022-11-16,18,4065.9,6705.728,0.6063323627716111
CE,2022-11-16,18,12156.382,21262.332,0.5717332339621779
DAY,2022-11-16,18,2395.7695,3348.0,0.715582297267025
DEOK,2022-11-16,18,3401.4758,5305.66,0.6411032425896355
DOM,2022-11-16,18,13610.657,21156.275,0.6433390200572879
DPL,2022-11-16,18,2471.6929,4125.325,0.5991510659387442
DUQ,2022-11-16,18,1652.3708,2759.284,0.5988404417991678
EKPC,2022-11-16,18,1821.0735,3074.136,0.5923854658115728
JC,2022-11-16,18,2892.5205,6169.072,0.4688744932483362
ME,2022-11-16,18,2113.633,3071.547,0.688133066705678
OVEC,2022-11-16,18,34.459946,124.0,0.2779027877315398
PE,2022-11-16,18,5085.0103,8582.561,0.5924816909435598
PEP,2022-11-16,18,3738.7058,6190.743,0.6039187558822705
PL,2022-11-16,18,5524.4316,7938.823,0.6958754012559544
PN,2022-11-16,18,2211.5571,3014.996,0.7335190921998735
PS,2022-11-16,18,5439.6274,10147.018,0.5360813828660056
RECO,2022-11-16,18,177.45607,427.359,0.4152388739825043
